Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
Vishudh,Women Olive Green Embellished Open Toe Flats,₹449,MRP ₹999,(55% OFF),4,1.1k Ratings,"A pair of olive green open-toed flats, has regular styling, no back strap detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Ethnic - Embellished,Regular,PU,15 days
Mast & Harbour,Gold-Toned Pointed Toe Buckle Detail Ballerinas,₹1119,MRP ₹2499,(Rs. 1380 OFF),4.2,428 Ratings,"A pair of gold-toned ballerinas
Upper Material: suede
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,Buckles,Regular,TPR,1 month
DressBerry,WomenSolid Flat Pointed Toe Ballerinas,₹699,MRP ₹2499,(72% OFF),4.3,51 Ratings,"A pair of black ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Backstrap,Solid,Casual,Bows,Regular,TPC,
Gibelle,Women White Embellished Open Toe Flats,₹594,MRP ₹1699,(65% OFF),4.2,3.3k Ratings,"A pair of white open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Square Toe,No Back Strap,Embellished,Casual,,Regular,Rubber,
Carlton London sports,Open Toe Flats,₹1319,MRP ₹2399,(45% OFF),4.1,140 Ratings,"A pair of beige open toe flats with velcro closure
Synthetic Upper
Cushioned footbed
Textured and patterned EVA outsole
Warranty: 1 month
Warranty provided by Brand/manufacturer",Open Toe Flats,Open Toe,Velcro,Solid,Casual,,Regular,EVA,1 month
JM Looks,Women Striped Open Toe Flats,₹997,MRP ₹1995,(50% OFF),4.5,112 Ratings,"A pair of peach-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Pointed Toe,Lace-Ups,Striped,Casual,Western - Embellished,Regular,Resin,1 month
Vishudh,Women Gunmetal-Toned Solid One Toe Flats,₹479,MRP ₹998,(52% OFF),4,4.1k Ratings,"A pair of gunmetal-toned round-toe flats, has regular styling, no back strap detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand/manufacturer",One Toe Flats,Open Toe,No Back Strap,Striped,Ethnic,Ethnic - Embellished,Regular,PVC,
Allen Solly,Women White Snakeskin Textured Ballerinas,₹1511,MRP ₹1799,(16% OFF),4,206 Ratings,"A pair of white snakeskin textured ballerinas, has regular stylinh,slip on detail
Upper Material: PU
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Ballerinas,Pointed Toe,Slip-On,Textured,Casual,,Regular,Rubber,6 months
Shoetopia,Women Embellished Open Toe Flats,₹899,MRP ₹1999,(55% OFF),4.3,35 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,TPR,
Metro,Women Embellished Open Toe Flats,₹745,MRP ₹1490,(50% OFF),4.2,649 Ratings,"A pair of open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Square Toe,No Back Strap,Embellished,Casual,Ethnic - Embellished,Regular,Resin,1 month
Allen Solly,Women Strappy Open Toe Flats,₹1816,MRP ₹2299,(21% OFF),3.6,148 Ratings,"A pair of yellow Strappy open toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 6 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,6 months
Mochi,Women Embellished T-Strap Flats,₹1393,MRP ₹1990,(30% OFF),5,13 Ratings,"A pair of pink t-strap flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",T-Strap Flats,Round Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,Synthetic,1 month
DressBerry,Pointed Toe Slip-On Ballerinas,₹699,MRP ₹1499,(Rs. 800 OFF),4.3,514 Ratings,"A pair of rose gold pointed toe ballerinas & bow
Slip on detail
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Slip-On,Solid,Casual,Bows,Regular,TPC,
